SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.0,1.0,1.0,1.1,1.2,1.4,1.5,48.65,-11.94,0.02,24
5.0,2.7,2.7,2.8,2.8,2.9,2.9,3.0,48.64,-11.94,0.04,39
10.0,4.6,4.6,4.7,4.7,4.8,4.8,4.9,48.64,-11.95,0.07,54
15.0,6.6,6.7,6.7,6.7,6.8,6.9,6.9,48.64,-11.95,0.10,69
20.0,8.8,8.8,8.9,8.9,9.0,9.0,9.1,48.63,-11.95,0.13,84
25.0,11.1,11.1,11.1,11.2,11.2,11.3,11.4,48.63,-11.96,0.15,99
30.0,13.4,13.5,13.5,13.6,13.6,13.7,13.7,48.63,-11.96,0.18,114
35.0,15.9,15.9,16.0,16.0,16.1,16.1,16.2,48.63,-11.96,0.21,128
40.0,18.4,18.4,18.5,18.6,18.6,18.7,18.7,48.63,-11.97,0.24,141
45.0,20.9,21.0,21.1,21.1,21.2,21.3,21.3,48.62,-11.98,0.26,152
50.0,23.5,23.6,23.7,23.7,23.8,23.9,23.9,48.62,-11.99,0.29,162
55.0,26.2,26.2,26.3,26.4,26.4,26.5,26.5,48.61,-12.01,0.32,171
60.0,28.8,28.9,28.9,29.0,29.1,29.1,29.2,48.61,-12.02,0.34,181
65.0,31.5,31.6,31.6,31.7,31.8,31.8,31.9,48.61,-12.04,0.37,191
70.0,34.2,34.3,34.3,34.4,34.5,34.5,34.6,48.60,-12.05,0.40,200
75.0,36.9,37.0,37.1,37.1,37.2,37.2,37.3,48.60,-12.07,0.42,210
80.0,39.7,39.7,39.8,39.9,39.9,40.0,40.1,48.60,-12.09,0.45,219
85.0,42.4,42.5,42.6,42.6,42.7,42.8,42.8,48.60,-12.11,0.48,228
90.0,45.2,45.3,45.4,45.4,45.5,45.5,45.6,48.60,-12.13,0.50,237
95.0,48.0,48.1,48.2,48.2,48.3,48.3,48.4,48.60,-12.14,0.53,247
100.0,50.9,50.9,51.0,51.0,51.1,51.2,51.2,48.60,-12.16,0.56,256
105.0,53.7,53.8,53.8,53.9,54.0,54.0,54.1,48.60,-12.18,0.58,265
110.0,56.6,56.6,56.7,56.8,56.8,56.9,56.9,48.60,-12.20,0.61,274
115.0,59.4,59.5,59.6,59.6,59.7,59.8,59.8,48.60,-12.21,0.64,283
120.0,62.3,62.4,62.5,62.5,62.6,62.7,62.7,48.60,-12.23,0.66,292
125.0,65.3,65.3,65.4,65.4,65.5,65.6,65.6,48.60,-12.25,0.69,301
130.0,68.2,68.3,68.3,68.4,68.4,68.5,68.6,48.60,-12.27,0.72,310
135.0,71.1,71.2,71.3,71.3,71.4,71.5,71.5,48.60,-12.28,0.74,319
140.0,74.1,74.2,74.2,74.3,74.4,74.4,74.5,48.60,-12.30,0.77,328
145.0,77.1,77.1,77.2,77.3,77.3,77.4,77.5,48.60,-12.32,0.80,338
150.0,80.1,80.1,80.2,80.3,80.3,80.4,80.5,48.60,-12.33,0.82,347
155.0,83.1,83.1,83.2,83.3,83.3,83.4,83.5,48.60,-12.35,0.85,356
160.0,86.1,86.2,86.2,86.3,86.4,86.4,86.5,48.60,-12.37,0.88,365
165.0,89.1,89.2,89.3,89.3,89.4,89.5,89.5,48.60,-12.38,0.90,373
170.0,92.0,92.1,92.2,92.3,92.4,92.5,92.5,48.60,-12.40,0.93,372
175.0,94.9,95.0,95.1,95.1,95.2,95.3,95.4,48.59,-12.41,0.95,382
180.0,97.8,97.8,97.9,98.0,98.1,98.2,98.3,48.59,-12.42,0.98,391
185.0,100.7,100.7,100.8,100.9,101.0,101.1,101.2,48.59,-12.43,1.00,400
190.0,103.6,103.6,103.7,103.8,103.9,104.0,104.1,48.58,-12.45,1.03,409
195.0,106.5,106.6,106.6,106.7,106.8,106.9,107.0,48.58,-12.46,1.06,418
200.0,109.4,109.5,109.6,109.7,109.8,109.8,109.9,48.58,-12.47,1.08,427
205.0,112.3,112.4,112.5,112.6,112.7,112.8,112.9,48.58,-12.49,1.11,436
210.0,115.3,115.4,115.5,115.6,115.6,115.7,115.8,48.57,-12.50,1.13,445
215.0,118.3,118.4,118.4,118.5,118.6,118.7,118.8,48.57,-12.51,1.16,454
220.0,121.2,121.3,121.4,121.5,121.6,121.7,121.8,48.57,-12.52,1.18,463
225.0,124.2,124.3,124.4,124.5,124.6,124.7,124.8,48.57,-12.54,1.21,472
230.0,127.2,127.3,127.4,127.5,127.6,127.7,127.8,48.57,-12.55,1.24,481
235.0,130.2,130.3,130.4,130.5,130.6,130.7,130.8,48.56,-12.56,1.26,490
240.0,133.3,133.4,133.4,133.5,133.6,133.6,133.5,48.56,-12.58,1.29,499
245.0,136.3,136.4,136.5,136.3,136.1,135.9,135.7,48.56,-12.59,1.31,508
250.0,137.8,137.7,137.5,137.4,137.2,137.1,136.9,48.57,-12.59,1.32,10
255.0,138.3,138.1,138.0,137.9,137.7,137.6,137.5,48.59,-12.58,1.33,9
260.0,138.7,138.6,138.5,138.3,138.2,138.1,137.9,48.60,-12.58,1.33,8
265.0,139.1,139.0,138.9,138.8,138.6,138.5,138.4,48.61,-12.58,1.34,7
270.0,139.5,139.4,139.3,139.1,139.0,138.9,138.8,48.63,-12.57,1.34,7
275.0,139.8,139.7,139.6,139.5,139.4,139.3,139.2,48.64,-12.57,1.34,6
280.0,140.1,140.0,139.9,139.8,139.7,139.6,139.5,48.65,-12.57,1.35,5
285.0,140.4,140.3,140.2,140.1,140.0,139.9,139.8,48.66,-12.56,1.35,5
290.0,140.6,140.5,140.4,140.3,140.3,140.2,140.1,48.67,-12.56,1.35,4
295.0,140.7,140.7,140.6,140.6,140.5,140.4,140.3,48.67,-12.56,1.35,3
300.0,140.9,140.8,140.8,140.7,140.7,140.6,140.5,48.68,-12.56,1.36,3
305.0,141.0,141.0,140.9,140.9,140.8,140.8,140.7,48.68,-12.56,1.36,2
310.0,141.1,141.0,141.0,141.0,140.9,140.9,140.9,48.69,-12.56,1.36,1
315.0,141.1,141.1,141.1,141.1,141.0,141.0,141.0,48.69,-12.56,1.36,1
320.0,-,141.1,141.1,141.1,141.1,141.1,141.0,48.69,-12.56,1.36,0
325.0,-,-,-,141.1,141.1,141.1,141.1,-,-,-,-
330.0,-,-,-,-,-,-,141.1,-,-,-,-
335.0,-,-,-,-,-,-,-,-,-,-,-
569.0,-,-,-,-,-,-,-,-,-,-,-
