SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,53.01,9.54,0.38,0
5.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,52.45,9.52,0.42,0
10.0,0.1,0.2,0.2,0.2,0.2,0.3,0.3,51.85,9.49,0.45,0
15.0,0.2,0.3,0.3,0.4,0.4,0.4,0.5,51.49,9.46,0.49,0
20.0,0.4,0.4,0.5,0.5,0.6,0.7,0.7,51.27,9.43,0.52,0
25.0,0.6,0.7,0.7,0.8,0.8,0.9,1.0,51.12,9.40,0.56,0
30.0,0.8,0.9,1.0,1.1,1.1,1.2,1.3,51.03,9.36,0.59,0
35.0,1.2,1.2,1.3,1.4,1.5,1.6,1.7,51.05,9.28,0.63,5
40.0,1.6,1.6,1.7,1.8,1.9,2.0,2.1,51.10,9.18,0.67,5
45.0,2.0,2.1,2.2,2.3,2.4,2.5,2.7,51.12,9.11,0.70,5
50.0,2.6,2.7,2.8,3.0,3.1,3.2,3.4,51.19,8.99,0.74,14
55.0,3.3,3.4,3.6,3.7,3.9,4.0,4.2,51.26,8.86,0.78,14
60.0,4.0,4.2,4.3,4.5,4.6,4.8,5.0,51.28,8.78,0.82,14
65.0,4.8,5.0,5.2,5.4,5.6,5.8,6.0,51.29,8.70,0.85,18
70.0,5.7,5.9,6.1,6.3,6.5,6.7,7.0,51.28,8.63,0.89,18
75.0,6.7,6.9,7.1,7.3,7.5,7.7,8.0,51.27,8.57,0.92,18
80.0,7.6,7.8,8.1,8.3,8.5,8.7,9.0,51.25,8.53,0.96,18
85.0,8.6,8.8,9.1,9.3,9.5,9.8,10.0,51.22,8.49,0.99,18
90.0,9.6,9.9,10.1,10.3,10.6,11.0,11.4,51.20,8.47,1.02,18
95.0,10.7,10.9,11.2,11.6,12.0,12.4,12.7,51.17,8.44,1.05,18
100.0,11.8,12.2,12.6,13.0,13.4,13.7,14.1,51.08,8.40,1.08,26
105.0,13.2,13.6,14.0,14.4,14.7,15.1,15.5,51.00,8.35,1.12,26
110.0,14.6,15.0,15.3,15.7,16.1,16.5,16.9,50.94,8.31,1.15,26
115.0,16.0,16.3,16.7,17.1,17.5,17.9,18.3,50.88,8.28,1.18,26
120.0,17.3,17.7,18.1,18.5,18.9,19.3,19.7,50.83,8.26,1.21,26
125.0,18.7,19.1,19.5,19.9,20.3,20.7,21.2,50.79,8.24,1.24,26
130.0,20.1,20.5,20.9,21.3,21.8,22.2,22.6,50.75,8.22,1.27,26
135.0,21.5,21.9,22.4,22.8,23.2,23.7,24.1,50.71,8.20,1.30,28
140.0,23.0,23.4,23.8,24.3,24.7,25.1,25.6,50.67,8.18,1.33,28
145.0,24.4,24.9,25.3,25.7,26.2,26.6,27.0,50.63,8.17,1.36,28
150.0,25.9,26.3,26.8,27.2,27.6,28.1,28.5,50.59,8.15,1.39,28
155.0,27.4,27.8,28.2,28.7,29.1,29.5,30.0,50.56,8.14,1.42,28
160.0,28.8,29.3,29.7,30.1,30.6,31.0,31.4,50.53,8.13,1.45,28
165.0,30.3,30.7,31.2,31.6,32.0,32.5,32.9,50.51,8.12,1.48,28
170.0,31.8,32.2,32.6,33.1,33.5,33.9,34.4,50.48,8.11,1.50,28
175.0,33.2,33.7,34.1,34.5,35.0,35.4,35.8,50.46,8.10,1.53,28
180.0,34.7,35.1,35.6,36.0,36.4,36.9,37.3,50.44,8.09,1.56,28
185.0,36.1,36.6,37.0,37.5,37.9,38.3,38.8,50.43,8.08,1.59,28
190.0,37.6,38.0,38.5,38.9,39.4,39.8,40.2,50.41,8.08,1.61,28
195.0,39.1,39.5,39.9,40.4,40.8,41.2,41.7,50.39,8.07,1.64,28
200.0,40.5,41.0,41.4,41.8,42.3,42.6,42.8,50.38,8.07,1.67,28
205.0,42.0,42.4,42.9,43.2,43.4,43.5,43.5,50.37,8.06,1.69,28
210.0,43.5,43.8,43.8,43.9,43.9,44.0,44.0,50.36,8.06,1.72,10
215.0,44.3,44.3,44.3,44.4,44.4,44.5,44.5,50.39,8.05,1.73,9
220.0,44.7,44.8,44.8,44.8,44.9,44.9,44.9,50.42,8.05,1.73,9
225.0,45.2,45.2,45.2,45.2,45.3,45.3,45.3,50.44,8.05,1.74,8
230.0,45.6,45.6,45.6,45.6,45.6,45.7,45.7,50.47,8.05,1.75,7
235.0,45.9,45.9,46.0,46.0,46.0,46.0,46.0,50.49,8.05,1.76,6
240.0,46.2,46.3,46.3,46.3,46.3,46.3,46.3,50.51,8.05,1.77,6
245.0,46.5,46.5,46.6,46.6,46.6,46.6,46.6,50.53,8.05,1.77,5
250.0,46.8,46.8,46.8,46.8,46.8,46.8,46.8,50.54,8.05,1.78,4
255.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,50.56,8.05,1.78,4
260.0,47.2,47.2,47.2,47.2,47.2,47.2,47.2,50.57,8.04,1.79,3
265.0,47.3,47.3,47.3,47.3,47.3,47.3,47.3,50.58,8.04,1.79,2
270.0,47.4,47.4,47.4,47.4,47.4,47.4,47.4,50.59,8.04,1.79,2
275.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50.59,8.04,1.80,1
280.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50.60,8.04,1.80,0
285.0,-,-,-,-,-,-,-,-,-,-,-
618.0,-,-,-,-,-,-,-,-,-,-,-
