SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.4,1.2,1.0,1.0,1.0,1.2,1.3,48.84,12.18,0.02,40
5.0,3.7,3.4,3.2,3.0,2.9,2.8,2.8,48.81,12.27,0.05,70
10.0,6.2,6.0,5.8,5.5,5.3,5.2,5.0,48.79,12.34,0.07,98
15.0,9.1,8.8,8.6,8.3,8.1,7.9,7.7,48.78,12.39,0.10,126
20.0,12.1,11.9,11.6,11.3,11.1,10.8,10.6,48.77,12.44,0.13,155
25.0,15.4,15.1,14.8,14.5,14.3,14.0,13.8,48.76,12.48,0.16,184
30.0,18.8,18.5,18.2,17.9,17.6,17.4,17.1,48.76,12.51,0.19,212
35.0,22.4,22.1,21.8,21.5,21.2,20.9,20.6,48.75,12.55,0.21,239
40.0,26.1,25.8,25.5,25.2,24.9,24.6,24.3,48.74,12.58,0.24,263
45.0,29.9,29.6,29.3,29.0,28.6,28.3,28.0,48.73,12.61,0.27,284
50.0,33.8,33.5,33.2,32.8,32.5,32.2,31.9,48.73,12.65,0.30,303
55.0,37.8,37.5,37.1,36.8,36.5,36.2,35.9,48.72,12.69,0.33,321
60.0,41.9,41.5,41.2,40.8,40.5,40.2,39.9,48.72,12.72,0.35,340
65.0,46.0,45.7,45.3,45.0,44.6,44.3,44.0,48.71,12.76,0.38,358
70.0,50.2,49.9,49.5,49.2,48.8,48.5,48.1,48.71,12.79,0.41,376
75.0,54.5,54.1,53.8,53.4,53.1,52.7,52.4,48.70,12.83,0.44,394
80.0,58.8,58.5,58.1,57.7,57.4,57.0,56.7,48.70,12.86,0.46,411
85.0,63.2,62.9,62.5,62.1,61.8,61.4,61.1,48.70,12.90,0.49,429
90.0,67.7,67.3,66.9,66.6,66.2,65.9,65.5,48.70,12.93,0.52,446
95.0,72.2,71.8,71.5,71.1,70.7,70.3,70.0,48.70,12.96,0.55,464
100.0,76.8,76.4,76.0,75.6,75.3,74.9,74.5,48.69,12.99,0.58,481
105.0,81.4,81.0,80.6,80.3,79.9,79.5,79.1,48.69,13.02,0.60,498
110.0,86.1,85.7,85.3,84.9,84.5,84.2,83.8,48.69,13.05,0.63,515
115.0,90.8,90.4,90.0,89.7,89.3,88.9,88.5,48.69,13.08,0.66,532
120.0,95.6,95.2,94.8,94.4,94.0,93.6,93.3,48.69,13.11,0.69,549
125.0,100.5,100.1,99.7,99.3,98.9,98.5,98.1,48.69,13.14,0.71,566
130.0,105.3,104.9,104.5,104.1,103.7,103.3,102.9,48.69,13.17,0.74,583
135.0,110.3,109.9,109.5,109.0,108.6,108.2,107.8,48.69,13.20,0.77,599
140.0,115.3,114.8,114.4,114.0,113.6,113.2,112.8,48.68,13.23,0.80,616
145.0,120.3,119.9,119.4,119.0,118.6,118.2,117.8,48.68,13.25,0.82,633
150.0,125.3,124.9,124.5,124.1,123.7,123.3,122.8,48.68,13.28,0.85,650
155.0,130.5,130.0,129.6,129.2,128.8,128.3,127.9,48.68,13.31,0.88,666
160.0,135.6,135.2,134.8,134.3,133.9,133.5,133.1,48.68,13.33,0.91,683
165.0,140.8,140.4,139.9,139.5,139.1,138.7,138.2,48.68,13.36,0.94,699
170.0,145.9,145.5,145.1,144.7,144.3,143.9,143.5,48.68,13.38,0.96,714
175.0,150.9,150.5,150.1,149.8,149.4,149.0,148.6,48.68,13.41,0.99,730
180.0,156.1,155.7,155.3,154.9,154.5,154.1,153.7,48.67,13.43,1.02,747
185.0,161.2,160.8,160.4,160.0,159.6,159.2,158.8,48.67,13.45,1.04,763
190.0,166.4,166.0,165.6,165.2,164.8,164.4,164.0,48.67,13.47,1.07,779
195.0,171.6,171.2,170.8,170.4,170.0,169.6,169.2,48.67,13.50,1.10,796
200.0,176.9,176.5,176.1,175.7,175.3,174.9,174.5,48.66,13.52,1.13,812
205.0,182.2,181.8,181.4,181.0,180.6,180.2,179.8,48.66,13.54,1.15,828
210.0,187.6,187.2,186.7,186.3,185.9,185.5,185.1,48.66,13.56,1.18,844
215.0,192.9,192.5,192.1,191.7,191.3,190.9,190.5,48.66,13.59,1.21,860
220.0,198.4,197.9,197.5,197.1,196.7,196.3,195.9,48.66,13.61,1.23,876
225.0,203.8,203.4,203.0,202.5,202.1,201.7,201.3,48.65,13.63,1.26,893
230.0,209.3,208.9,208.4,208.0,207.6,207.2,206.8,48.65,13.65,1.29,909
235.0,214.8,214.4,214.0,213.5,213.1,212.7,212.3,48.65,13.67,1.32,925
240.0,220.4,219.9,219.5,219.1,218.6,218.2,217.6,48.65,13.69,1.34,940
245.0,225.9,225.5,225.1,224.4,223.6,222.8,221.9,48.65,13.71,1.37,956
