SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,43.64,-13.14,0.03,0
5.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,43.63,-13.28,0.06,0
10.0,0.3,0.3,0.3,0.3,0.4,0.4,0.4,43.63,-13.38,0.09,1
15.0,0.5,0.5,0.5,0.5,0.5,0.6,0.6,43.62,-13.47,0.12,1
20.0,0.7,0.7,0.7,0.7,0.8,0.8,0.8,43.62,-13.55,0.15,1
25.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,43.62,-13.61,0.18,2
30.0,1.2,1.2,1.2,1.2,1.2,1.3,1.3,43.62,-13.68,0.21,2
35.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,43.62,-13.73,0.24,3
40.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,43.62,-13.79,0.27,3
45.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,43.62,-13.84,0.30,4
50.0,2.4,2.4,2.4,2.4,2.4,2.5,2.5,43.62,-13.89,0.33,4
55.0,2.7,2.7,2.7,2.8,2.8,2.8,2.8,43.62,-13.93,0.36,5
60.0,3.1,3.1,3.1,3.1,3.1,3.1,3.2,43.62,-13.97,0.39,5
65.0,3.4,3.4,3.4,3.5,3.5,3.5,3.5,43.62,-14.02,0.42,6
70.0,3.8,3.8,3.8,3.8,3.9,3.9,3.9,43.62,-14.06,0.45,7
75.0,4.2,4.2,4.2,4.2,4.2,4.3,4.3,43.62,-14.09,0.48,7
80.0,4.6,4.6,4.6,4.6,4.6,4.7,4.7,43.62,-14.13,0.51,8
85.0,5.0,5.0,5.0,5.0,5.0,5.1,5.1,43.62,-14.17,0.54,8
90.0,5.4,5.4,5.4,5.4,5.5,5.5,5.5,43.62,-14.20,0.57,9
95.0,5.8,5.8,5.9,5.9,5.9,5.9,5.9,43.62,-14.23,0.60,10
100.0,6.2,6.3,6.3,6.3,6.3,6.4,6.4,43.62,-14.27,0.63,10
105.0,6.7,6.7,6.7,6.8,6.8,6.8,6.8,43.62,-14.30,0.66,11
110.0,7.2,7.2,7.2,7.2,7.2,7.3,7.3,43.62,-14.33,0.69,12
115.0,7.6,7.6,7.7,7.7,7.7,7.7,7.8,43.62,-14.36,0.72,13
120.0,8.1,8.1,8.1,8.2,8.2,8.2,8.2,43.62,-14.39,0.75,13
125.0,8.6,8.6,8.6,8.6,8.7,8.7,8.7,43.62,-14.42,0.78,14
130.0,9.1,9.1,9.1,9.1,9.2,9.2,9.2,43.62,-14.44,0.81,15
135.0,9.6,9.6,9.6,9.6,9.7,9.7,9.7,43.62,-14.47,0.84,15
140.0,10.1,10.1,10.1,10.2,10.2,10.2,10.2,43.62,-14.50,0.87,16
145.0,10.6,10.6,10.6,10.7,10.7,10.7,10.7,43.62,-14.52,0.90,17
150.0,11.1,11.1,11.2,11.2,11.2,11.2,11.3,43.62,-14.55,0.93,18
155.0,11.7,11.7,11.7,11.7,11.8,11.8,11.8,43.62,-14.58,0.96,19
160.0,12.2,12.2,12.2,12.3,12.3,12.3,12.4,43.62,-14.60,0.99,19
165.0,12.7,12.8,12.8,12.8,12.8,12.9,12.9,43.62,-14.63,1.02,20
170.0,13.3,13.3,13.4,13.4,13.4,13.4,13.5,43.62,-14.65,1.05,21
175.0,13.9,13.9,13.9,13.9,14.0,14.0,14.0,43.62,-14.67,1.08,22
180.0,14.4,14.5,14.5,14.5,14.5,14.6,14.6,43.62,-14.70,1.11,23
185.0,15.0,15.0,15.1,15.1,15.1,15.2,15.2,43.62,-14.72,1.14,24
190.0,15.6,15.6,15.6,15.7,15.7,15.7,15.8,43.62,-14.74,1.17,24
195.0,16.2,16.2,16.2,16.3,16.3,16.3,16.4,43.62,-14.76,1.20,25
200.0,16.8,16.8,16.8,16.9,16.9,16.9,17.0,43.62,-14.79,1.23,26
205.0,17.4,17.4,17.4,17.5,17.5,17.5,17.6,43.62,-14.81,1.25,27
210.0,18.0,18.0,18.1,18.1,18.1,18.1,18.2,43.62,-14.83,1.28,28
215.0,18.6,18.6,18.7,18.7,18.7,18.8,18.8,43.62,-14.85,1.31,29
220.0,19.2,19.3,19.3,19.3,19.4,19.4,19.4,43.62,-14.87,1.34,30
225.0,19.9,19.9,19.9,20.0,20.0,20.0,20.1,43.62,-14.89,1.37,31
230.0,20.5,20.5,20.6,20.6,20.6,20.7,20.7,43.62,-14.91,1.40,31
235.0,21.1,21.2,21.2,21.2,21.3,21.3,21.3,43.62,-14.93,1.43,32
240.0,21.8,21.8,21.9,21.9,21.9,22.0,22.0,43.62,-14.95,1.46,33
245.0,22.4,22.4,22.4,22.4,22.4,22.4,22.4,43.62,-14.97,1.49,0
250.0,22.4,-,-,-,22.4,22.4,22.4,-,-,-,-
255.0,-,-,-,-,-,-,-,-,-,-,-
571.5,-,-,-,-,-,-,-,-,-,-,-
