SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.1,0.7,0.3,0.2,0.1,0.1,0.1,23.95,9.73,9.71,12
5.0,2.1,1.7,1.3,0.9,0.6,0.5,0.4,23.95,9.73,9.74,12
10.0,3.1,2.7,2.3,1.9,1.5,1.2,1.0,23.95,9.73,9.76,12
15.0,4.1,3.7,3.3,2.9,2.5,2.2,1.8,23.95,9.73,9.79,12
20.0,5.1,4.7,4.3,3.9,3.5,3.2,2.8,23.95,9.73,9.81,12
25.0,6.1,5.7,5.3,4.9,4.5,4.2,3.8,23.95,9.73,9.84,12
30.0,7.1,6.7,6.3,5.9,5.6,5.2,4.8,23.95,9.73,9.86,12
35.0,8.1,7.7,7.3,6.9,6.6,6.2,5.8,23.95,9.73,9.89,12
40.0,9.1,8.7,8.3,7.9,7.6,7.2,6.8,23.95,9.73,9.91,12
45.0,10.1,9.7,9.3,9.0,8.6,8.2,7.8,23.95,9.73,9.94,12
50.0,11.1,10.7,10.3,10.0,9.6,9.2,8.8,23.95,9.73,9.96,12
55.0,12.1,11.7,11.3,11.0,10.6,10.2,9.8,23.95,9.73,9.99,12
60.0,13.1,12.7,12.3,12.0,11.6,11.2,10.8,23.95,9.73,10.01,12
65.0,14.1,13.7,13.4,13.0,12.6,12.2,11.8,23.95,9.73,10.04,12
70.0,15.1,14.7,14.4,14.0,13.6,13.2,12.8,23.95,9.73,10.06,12
75.0,16.1,15.7,15.4,15.0,14.6,14.2,13.8,23.95,9.73,10.09,12
80.0,17.1,16.8,16.4,16.0,15.6,15.2,14.8,23.95,9.73,10.11,12
85.0,17.6,17.6,17.3,17.0,16.6,16.2,15.8,23.95,9.73,10.14,0
90.0,-,-,17.6,17.6,17.3,17.0,16.6,-,-,-,-
95.0,-,-,-,17.6,17.6,17.4,17.2,-,-,-,-
100.0,-,-,-,-,17.6,17.6,17.5,-,-,-,-
105.0,-,-,-,-,-,-,17.6,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
255.3,-,-,-,-,-,-,-,-,-,-,-
