SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,1.2,0.7,0.3,0.2,0.1,0.1,0.1,24.38,-9.84,9.71,24
5.0,2.2,1.8,1.4,0.9,0.6,0.5,0.4,24.38,-9.84,9.74,24
10.0,3.3,2.9,2.4,2.0,1.5,1.1,0.9,24.38,-9.84,9.76,24
15.0,4.4,3.9,3.5,3.0,2.6,2.2,1.7,24.38,-9.84,9.79,24
20.0,5.4,5.0,4.5,4.1,3.7,3.2,2.8,24.38,-9.84,9.81,24
25.0,6.5,6.0,5.6,5.2,4.7,4.3,3.8,24.38,-9.84,9.84,24
30.0,7.5,7.1,6.7,6.2,5.8,5.3,4.9,24.38,-9.84,9.86,24
35.0,8.6,8.2,7.7,7.3,6.8,6.4,6.0,24.38,-9.84,9.89,24
40.0,9.7,9.2,8.8,8.3,7.9,7.5,7.0,24.38,-9.84,9.91,24
45.0,10.7,10.3,9.8,9.4,9.0,8.5,8.1,24.38,-9.84,9.94,24
50.0,11.8,11.3,10.9,10.5,10.0,9.6,9.1,24.38,-9.84,9.96,24
55.0,12.8,12.4,12.0,11.5,11.1,10.6,10.2,24.38,-9.84,9.99,24
60.0,13.9,13.5,13.0,12.6,12.1,11.7,11.3,24.38,-9.84,10.01,24
65.0,15.0,14.5,14.1,13.6,13.2,12.8,12.3,24.38,-9.84,10.04,24
70.0,16.0,15.6,15.1,14.7,14.3,13.8,13.4,24.38,-9.84,10.06,24
75.0,17.1,16.6,16.2,15.8,15.3,14.9,14.4,24.38,-9.84,10.09,24
80.0,18.1,17.7,17.3,16.8,16.4,15.9,15.5,24.38,-9.84,10.11,24
85.0,18.6,18.6,18.3,17.9,17.4,17.0,16.5,24.38,-9.84,10.14,0
90.0,-,-,18.6,18.5,18.2,17.8,17.4,-,-,-,-
95.0,-,-,-,18.6,18.6,18.4,18.1,-,-,-,-
100.0,-,-,-,-,18.6,18.6,18.5,-,-,-,-
105.0,-,-,-,-,-,-,18.6,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
255.0,-,-,-,-,-,-,-,-,-,-,-
