SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,0.2,0.2,0.3,0.3,0.3,0.4,0.4,51.58,-9.47,0.48,0
5.0,0.4,0.4,0.4,0.5,0.5,0.6,0.6,51.32,-9.44,0.51,0
10.0,0.5,0.6,0.6,0.7,0.8,0.8,0.9,51.16,-9.41,0.55,0
15.0,0.8,0.8,0.9,1.0,1.0,1.1,1.2,51.06,-9.37,0.58,0
20.0,1.1,1.1,1.2,1.3,1.3,1.4,1.5,51.02,-9.32,0.62,5
25.0,1.4,1.5,1.6,1.7,1.8,1.9,2.0,51.09,-9.21,0.66,5
30.0,1.9,2.0,2.0,2.1,2.2,2.3,2.5,51.12,-9.13,0.69,5
35.0,2.4,2.5,2.6,2.7,2.9,3.0,3.1,51.16,-9.04,0.73,14
40.0,3.1,3.2,3.3,3.5,3.6,3.7,3.9,51.24,-8.89,0.77,14
45.0,3.8,3.9,4.1,4.2,4.4,4.5,4.7,51.28,-8.80,0.81,14
50.0,4.6,4.7,4.9,5.1,5.2,5.4,5.6,51.29,-8.73,0.84,18
55.0,5.5,5.6,5.8,6.0,6.2,6.4,6.6,51.28,-8.65,0.88,18
60.0,6.4,6.6,6.8,7.0,7.2,7.4,7.6,51.27,-8.58,0.91,18
65.0,7.4,7.6,7.8,8.0,8.2,8.4,8.6,51.25,-8.54,0.95,18
70.0,8.3,8.5,8.8,9.0,9.2,9.4,9.6,51.23,-8.50,0.98,18
75.0,9.3,9.6,9.8,10.0,10.2,10.5,10.9,51.20,-8.47,1.01,18
80.0,10.4,10.6,10.8,11.1,11.5,11.9,12.2,51.18,-8.45,1.04,18
85.0,11.4,11.8,12.2,12.5,12.9,13.2,13.6,51.11,-8.41,1.07,26
90.0,12.8,13.2,13.5,13.9,14.3,14.6,15.0,51.03,-8.36,1.11,26
95.0,14.2,14.6,14.9,15.3,15.6,16.0,16.4,50.96,-8.32,1.14,26
100.0,15.6,15.9,16.3,16.7,17.0,17.4,17.8,50.90,-8.29,1.17,26
105.0,16.9,17.3,17.7,18.1,18.4,18.8,19.2,50.85,-8.27,1.21,26
110.0,18.3,18.7,19.1,19.4,19.8,20.2,20.6,50.80,-8.24,1.24,26
115.0,19.7,20.1,20.5,20.9,21.3,21.7,22.1,50.76,-8.22,1.27,26
120.0,21.1,21.5,21.9,22.3,22.7,23.2,23.6,50.73,-8.21,1.29,28
125.0,22.5,23.0,23.4,23.8,24.2,24.6,25.0,50.68,-8.19,1.32,28
130.0,24.0,24.4,24.8,25.2,25.7,26.1,26.5,50.64,-8.17,1.35,28
135.0,25.4,25.9,26.3,26.7,27.1,27.5,27.9,50.60,-8.16,1.38,28
140.0,26.9,27.3,27.7,28.1,28.5,29.0,29.4,50.57,-8.14,1.41,28
145.0,28.3,28.7,29.2,29.6,30.0,30.4,30.8,50.54,-8.13,1.44,28
150.0,29.8,30.2,30.6,31.0,31.4,31.9,32.3,50.52,-8.12,1.47,28
155.0,31.2,31.6,32.0,32.5,32.9,33.3,33.7,50.49,-8.11,1.49,28
160.0,32.6,33.1,33.5,33.9,34.3,34.7,35.2,50.47,-8.10,1.52,28
165.0,34.1,34.5,34.9,35.3,35.8,36.2,36.6,50.45,-8.09,1.55,28
170.0,35.5,35.9,36.4,36.8,37.2,37.6,38.1,50.43,-8.09,1.57,28
175.0,37.0,37.4,37.8,38.2,38.7,39.1,39.5,50.42,-8.08,1.60,28
180.0,38.4,38.8,39.3,39.7,40.1,40.5,41.0,50.40,-8.07,1.63,28
185.0,39.9,40.3,40.7,41.1,41.6,42.0,42.3,50.39,-8.07,1.65,28
190.0,41.3,41.7,42.1,42.6,42.9,43.1,43.2,50.37,-8.06,1.68,28
195.0,42.8,43.2,43.5,43.6,43.7,43.7,43.8,50.36,-8.06,1.70,28
200.0,44.0,44.0,44.1,44.1,44.2,44.2,44.2,50.37,-8.05,1.72,10
205.0,44.5,44.5,44.6,44.6,44.6,44.7,44.7,50.40,-8.05,1.73,9
210.0,45.0,45.0,45.0,45.0,45.1,45.1,45.1,50.43,-8.05,1.74,8
215.0,45.4,45.4,45.4,45.4,45.5,45.5,45.5,50.45,-8.05,1.75,7
220.0,45.7,45.8,45.8,45.8,45.8,45.8,45.9,50.48,-8.05,1.75,7
225.0,46.1,46.1,46.1,46.1,46.1,46.2,46.2,50.50,-8.05,1.76,6
230.0,46.4,46.4,46.4,46.4,46.4,46.4,46.5,50.52,-8.05,1.77,5
235.0,46.7,46.7,46.7,46.7,46.7,46.7,46.7,50.53,-8.05,1.78,5
240.0,46.9,46.9,46.9,46.9,46.9,46.9,46.9,50.55,-8.05,1.78,4
245.0,47.1,47.1,47.1,47.1,47.1,47.1,47.1,50.56,-8.05,1.79,3
250.0,47.3,47.3,47.3,47.3,47.3,47.3,47.3,50.58,-8.04,1.79,3
255.0,47.4,47.4,47.4,47.4,47.4,47.4,47.4,50.58,-8.04,1.79,2
260.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50.59,-8.04,1.79,1
265.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50.59,-8.04,1.80,1
270.0,47.5,47.5,47.5,47.5,47.5,47.5,47.5,50.60,-8.04,1.80,0
275.0,-,-,-,-,-,-,-,-,-,-,-
602.0,-,-,-,-,-,-,-,-,-,-,-
