SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,0.3,0.2,0.2,0.2,0.2,0.2,0.3,28.40,16.02,9.59,1
5.0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,28.40,16.09,9.62,1
10.0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,28.40,16.17,9.65,3
15.0,1.8,1.8,1.8,1.8,1.8,1.8,1.8,28.40,16.23,9.68,3
20.0,2.4,2.4,2.4,2.4,2.4,2.4,2.4,28.40,16.26,9.70,3
25.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,28.40,16.28,9.73,3
30.0,3.6,3.6,3.6,3.6,3.6,3.6,3.6,28.40,16.29,9.76,3
35.0,4.2,4.2,4.2,4.2,4.2,4.2,4.2,28.40,16.30,9.78,3
40.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,28.40,16.31,9.81,3
45.0,5.4,5.4,5.4,5.4,5.4,5.4,5.3,28.40,16.32,9.83,3
50.0,6.0,6.0,6.0,6.0,6.0,6.0,5.9,28.40,16.32,9.86,3
55.0,6.6,6.6,6.6,6.6,6.6,6.6,6.5,28.40,16.32,9.88,3
60.0,7.2,7.2,7.2,7.2,7.2,7.2,7.1,28.40,16.33,9.91,3
65.0,7.8,7.8,7.8,7.8,7.8,7.8,7.7,28.40,16.33,9.93,3
70.0,8.4,8.4,8.4,8.4,8.4,8.4,8.3,28.40,16.33,9.96,3
75.0,9.0,9.0,9.0,9.0,9.0,9.0,8.9,28.40,16.33,9.98,3
80.0,9.6,9.6,9.6,9.6,9.6,9.6,9.5,28.40,16.34,10.01,3
85.0,10.2,10.2,10.2,10.2,10.2,10.2,10.1,28.40,16.34,10.03,3
90.0,10.8,10.8,10.8,10.8,10.8,10.8,10.7,28.40,16.34,10.06,3
95.0,11.4,11.4,11.4,11.4,11.3,11.3,11.2,28.40,16.34,10.08,3
100.0,11.6,11.6,11.6,11.6,11.6,11.6,11.5,28.40,16.34,10.09,0
105.0,-,-,-,-,11.6,11.6,11.6,-,-,-,-
110.0,-,-,-,-,-,-,-,-,-,-,-
225.0,-,-,-,-,-,-,-,-,-,-,-
