SOUND,-1.00m,0.00m,1.0m,2.00m,3.00m,4.00m,5.00m,LCG,TCG,VCG,IY
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,24.00,11.45,1.52,2
10.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.00,11.45,1.57,2
20.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,24.00,11.45,1.62,2
30.0,1.3,1.3,1.3,1.3,1.3,1.3,1.3,24.00,11.45,1.67,2
40.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,24.00,11.45,1.72,2
50.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,24.00,11.45,1.77,2
60.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,24.00,11.45,1.82,2
70.0,2.9,2.9,2.9,2.9,2.9,2.9,2.9,24.00,11.45,1.87,2
80.0,3.3,3.3,3.3,3.3,3.3,3.3,3.3,24.00,11.45,1.92,2
90.0,3.7,3.7,3.7,3.7,3.7,3.7,3.7,24.00,11.45,1.97,2
100.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,24.00,11.45,2.00,0
418.6,-,-,-,-,-,-,-,-,-,-,-
